Images,Age,Group
imdb/Mask-8/flip_1_nm3357633_rm3019476736_2001-12-0_2010.jpg,8,0
imdb/Mask-14/nm0000379_rm1773377536_1982-4-30_1996.jpg,14,0
imdb/Mask-7/flip_1_nm3135499_rm4239831552_2004-1-10_2011.jpg,7,0
imdb/Mask-7/Contrast-25_nm2089090_rm3653736704_1998-12-29_2006.jpg,7,0
imdb/Mask-13/nm1113550_rm814517760_1996-4-14_2009.jpg,13,0
imdb/Mask-7/rot_15_nm2215143_rm1695151872_1999-11-10_2007.jpg,7,0
imdb/Mask-15/nm3955364_rm283889664_1997-9-4_2013.jpg,15,0
imdb/Mask-6/rot_-45_nm1367048_rm2906168064_1998-8-1_2005.jpg,6,0
imdb/Mask-9/nm4832920_rm1680974080_2003-8-28_2013.jpg,9,0
wiki/Mask-13/Trans_60_-60_0810796_1995-09-27_2009.jpg,13,0
imdb/Mask-7/rot_15_nm2215143_rm1652334592_1999-11-10_2007.jpg,7,0
wiki/Mask-12/rot_-30_501093_1955-12-23_1968.jpg,12,0
wiki/Mask-7/rot_30_0267035_2004-06-17_2011.jpg,7,0
imdb/Mask-13/nm4563869_rm4173125632_2000-3-27_2013.jpg,13,0
imdb/Mask-13/nm0004893_rm919910912_1992-8-2_2006.jpg,13,0
wiki/Mask-7/SP_0.5_0.009_70514_1963-03-06_1970.jpg,7,0
imdb/Mask-15/nm1519680_rm1421052160_1994-4-12_2009.jpg,15,0
wiki/Mask-10/Trans_60_-60_2758275_2004-03-27_2014.jpg,10,0
imdb/Mask-9/SP_0.5_0.009_nm3215591_rm416321280_2001-1-20_2010.jpg,9,0
imdb/Mask-6/rot_-30_nm1415323_rm2858916608_1992-11-23_1999.jpg,6,0
imdb/Mask-13/nm1455681_rm2536545024_1993-12-8_2007.jpg,13,0
imdb/Mask-15/nm0939697_rm846306048_1987-9-7_2003.jpg,15,0
imdb/Mask-11/nm2765519_rm1177088768_2000-5-30_2011.jpg,11,0
imdb/Mask-15/nm0607185_rm18648576_1979-4-12_1994.jpg,15,0
imdb/Mask-12/nm1736769_rm1794211840_1998-1-28_2010.jpg,12,0
imdb/Mask-11/nm1071252_rm3336022016_1994-5-4_2005.jpg,11,0
wiki/Mask-14/flip_1_4479029_1997-12-27_2012.jpg,14,0
imdb/Mask-8/rot_-30_nm0107748_rm501585920_1992-5-18_2000.jpg,8,0
imdb/Mask-10/nm0266824_rm2982317056_1994-2-23_2004.jpg,10,0
imdb/Mask-10/rot_30_nm0665822_rm1701038080_1953-8-2_1964.jpg,10,0
imdb/Mask-12/nm1551130_rm1472501760_1993-8-26_2006.jpg,12,0
imdb/Mask-5/Trans_60_60_nm0000379_rm1203952896_1982-4-30_1987.jpg,5,0
imdb/Mask-14/nm1552919_rm4215839488_1993-1-11_2007.jpg,14,0
imdb/Mask-6/rot_30_nm0279896_rm1336854784_1981-10-22_1988.jpg,6,0
imdb/Mask-6/Contrast-25_nm5085683_rm1008258048_2006-6-25_2012.jpg,6,0
imdb/Mask-8/flip_1_nm2202521_rm3656227072_1998-7-22_2007.jpg,8,0
wiki/Mask-14/Scale_0.3_6347980_1997-01-20_2011.jpg,14,0
wiki/Mask-13/Trans_60_60_6594618_1998-11-03_2012.jpg,13,0
imdb/Mask-6/SP_0.5_0.009_nm0279896_rm1776208128_1981-10-22_1988.jpg,6,0
imdb/Mask-7/rot_-15_nm2186514_rm2620430336_1998-8-21_2006.jpg,7,0
imdb/Mask-10/flip_1_nm0652089_rm709662976_1992-3-10_2002.jpg,10,0
wiki/Mask-9/Contrast-25_4230494_1946-07-14_1956.jpg,9,0
imdb/Mask-2/rot_15_nm3106310_rm1419613184_2001-12-28_2004.jpg,2,0
imdb/Mask-14/nm1260957_rm1013160448_1991-5-17_2005.jpg,14,0
imdb/Mask-10/flip_1_nm1371564_rm2639174144_1994-9-14_2005.jpg,10,0
imdb/Mask-2/light_1.5_nm4682545_rm3648628224_2007-6-6_2009.jpg,2,0
imdb/Mask-4/Sharpen_nm0316701_rm3595016704_1996-10-5_2001.jpg,4,0
imdb/Mask-7/nm2215143_rm2081027840_1999-11-10_2007.jpg,7,0
imdb/Mask-6/rot_-30_nm1113550_rm864983808_1996-4-14_2002_2.jpg,6,0
wiki/Mask-14/SP_0.5_0.009_4711046_1997-09-06_2012.jpg,14,0
imdb/Mask-9/rot_30_nm0001499_rm1859303936_1985-2-7_1994.jpg,9,0
imdb/Mask-15/nm1910255_rm2262610944_1996-12-29_2012.jpg,15,0
