Images,Age,Group
imdb/Mask-51/nm0000592_rm951565568_1946-2-7_1997.jpg,51,1
imdb/Mask-45/nm0000391_rm1492162560_1959-5-29_2004.jpg,45,1
imdb/Mask-17/nm1680064_rm1930467840_1988-3-7_2005.jpg,17,1
imdb/Mask-21/nm0002871_rm1411775232_1965-9-23_1987.jpg,21,1
imdb/Mask-48/nm0000552_rm918063104_1961-4-3_2009.jpg,48,1
imdb/Mask-55/nm0000362_rm2723125760_1944-11-17_2000.jpg,55,1
imdb/Mask-42/nm0000982_rm2428797696_1968-2-12_2010.jpg,42,1
imdb/Mask-19/nm0029400_rm4143814656_1987-12-3_2007.jpg,19,1
imdb/Mask-54/nm0000102_rm3588400640_1958-7-8_2013.jpg,54,1
imdb/Mask-50/nm0000232_rm316511488_1958-3-10_2008.jpg,50,1
imdb/Mask-28/nm0000174_rm1508874496_1959-12-31_1988.jpg,28,1
imdb/Mask-28/nm0000615_rm1792854272_1948-9-17_1977.jpg,28,1
imdb/Mask-50/nm0001015_rm3205298944_1961-4-14_2011.jpg,50,1
imdb/Mask-29/nm0000421_rm189242112_1968-1-2_1997.jpg,29,1
imdb/Mask-16/nm0540441_rm125082368_1984-11-21_2001.jpg,16,1
imdb/Mask-42/nm0000602_rm1379716096_1936-8-18_1979.jpg,42,1
imdb/Mask-29/nm0001612_rm818255872_1969-8-19_1999.jpg,29,1
imdb/Mask-24/nm0002536_rm1427880448_1986-9-12_2011.jpg,24,1
imdb/Mask-52/nm0001644_rm1757002752_1959-3-8_2011.jpg,52,1
imdb/Mask-33/nm0001401_rm1906152448_1975-6-4_2008.jpg,33,1
imdb/Mask-31/nm0001309_rm1406900480_1968-4-14_1999.jpg,31,1
imdb/Mask-49/nm0000547_rm3247806720_1953-5-24_2002.jpg,49,1
imdb/Mask-45/nm0000572_rm2555874816_1965-3-25_2010.jpg,45,1
imdb/Mask-51/nm0001745_rm4253129472_1951-6-13_2002.jpg,51,1
imdb/Mask-26/nm0001337_rm3414922240_1978-11-24_2005.jpg,26,1
imdb/Mask-43/nm0000129_rm3683621632_1962-7-3_2006.jpg,43,1
imdb/Mask-38/nm0000580_rm340562944_1966-10-11_2005.jpg,38,1
imdb/Mask-28/nm0000111_rm2299235840_1962-3-21_1990.jpg,28,1
imdb/Mask-19/nm0000749_rm2243747072_1970-12-12_1990.jpg,19,1
imdb/Mask-54/nm0000154_rm2380959488_1956-1-3_2010.jpg,54,1
